Hzl,Güç,Day,Pas,Agre,Öns,Çev,Den,Ces,Hkm,Kons,Sğk,Ort,Kar,Krr,TSü,Bit,İKn,Yet,Elk,Kaf,Zıp,Ayk,Lid,Uzş,Mar,TzA,Hız,Poz,Ref,Tkp,Toy,Tek,Taç,ANİ,Viz,Çlş,SkorFarki
8,12,19,11,17,9,14,14,21,2,8,16,19,22,16,31,17,14,20,3,21,-9,6,15,28,23,19,12,5,0,7,14,16,3,12,16,32,0.0
-17,-4,-13,-12,-14,-20,-16,-22,-5,-3,-24,-22,10,-10,-34,-9,-7,-15,-22,-2,16,4,7,-15,-1,2,-15,-4,4,-7,-1,-11,-15,0,4,-6,-2,2.0
-5,2,2,-1,-8,4,-4,0,15,8,-11,-11,1,2,-14,1,-3,-8,2,-3,0,-4,3,18,-1,0,-13,-6,-2,-1,-1,-5,-5,-1,3,-1,1,1.0
0,8,-2,-8,-8,-8,-14,0,13,-3,-21,-20,-3,1,-27,-1,-7,-9,-4,0,8,-2,0,13,-14,2,-12,3,3,0,-7,-11,-11,-7,6,-5,-3,3.0
0,33,22,13,10,17,1,12,28,0,12,16,14,16,13,12,5,11,4,8,17,24,16,6,7,27,7,16,28,0,14,18,10,5,-4,13,30,1.0
23,25,31,29,23,22,23,11,39,2,26,21,26,27,24,28,6,21,8,10,24,16,9,28,2,16,7,27,32,3,23,30,22,0,6,27,48,2.0
-23,-14,-24,-12,-12,-27,-22,-22,-21,5,-4,-23,11,-3,-29,-5,-3,-15,-21,-1,0,-10,5,-26,-6,-17,-23,-2,-12,-8,-25,-28,-12,-2,-2,-5,0,2.0
-1,12,2,-4,3,-4,-8,8,5,-2,-6,-5,-8,-3,-3,-1,0,-5,-6,-2,7,8,-2,1,0,-1,1,3,-10,2,-6,-1,-4,0,5,-3,-2,1.0
-12,-6,-1,-20,-27,-33,-22,-17,-10,-1,-18,-37,2,-20,-30,-10,-25,-21,-32,-5,-33,-13,8,-23,-18,6,-32,0,-1,-2,1,-25,-19,-4,0,-11,0,3.0
-3,-2,2,2,-10,-3,0,-2,-2,1,-1,-1,4,-1,0,5,-3,-3,-3,0,-3,-8,2,-9,2,1,-2,2,-2,-3,-7,-1,1,1,0,3,-3,1.0
-29,-27,-21,-23,-13,-15,-22,-23,-9,-3,-17,-22,-20,-21,-23,-8,-2,-26,-20,-10,-17,-26,4,-4,-15,-11,-26,-16,-26,-4,-26,-20,-27,-4,-8,-11,-10,2.0
